sample,random_A,random_B,random_C,random_D
1,5.565458187,0.177500129,2.13523344,8.203437554
2,5.452322561,0.371108431,2.925688695,8.530746871
3,3.352965244,0.556824282,2.301754207,4.102510682
4,3.304391145,1.467443466,2.703339289,7.07226862
5,0.80519852,2.109951412,1.980723279,8.814374153
6,6.080860248,0.395177238,1.872059351,2.794387098
7,6.408681535,0.713069565,3.078510861,9.35931182
8,4.65593338,4.688506157,3.01933825,1.699410826
9,7.63869702,1.305399178,2.452380825,9.247797455
10,5.17605018,1.349229829,1.950853216,4.69159961
11,3.720315767,0.724117201,2.780177123,9.900253885
12,6.363888772,4.201104358,2.373485587,2.72365489
13,6.794559439,2.73608264,3.603549975,9.867185203
14,4.442624144,0.179171177,2.128478544,1.91305246
15,4.81510965,1.34840237,2.723179741,8.018375111
16,7.700064675,0.438355245,2.552847729,4.792623706
17,7.555993816,0.301317777,1.989934385,5.410334859
18,0.441853092,0.279043633,2.961979742,7.978512025
19,1.566537575,0.884106219,1.94707539,4.286903907
20,5.087455242,8.722816673,2.228128116,7.118811167
21,8.261547878,0.731774425,2.782164219,5.260939314
22,6.64727398,1.444032035,1.799968832,0.703291937
23,5.477330484,3.558856411,2.429871386,5.125502851
24,4.890278663,0.103845212,2.42786034,4.865491099
25,6.251403112,0.275312102,2.11598752,5.919639447
26,5.298125955,1.20669587,2.819123947,2.416407235
27,6.946762076,2.1204808,3.059359302,6.630594318
28,6.405077459,5.957681145,2.722929583,7.515800281
29,4.778850209,4.518914166,1.54592041,4.744493526
30,5.165647992,0.385520192,2.493011958,3.013872297
31,3.781243004,1.108960112,2.753158228,3.282305296
32,3.884446748,0.545768439,2.725177954,5.185928794
33,6.643017608,0.907011069,1.668737945,4.10036365
34,8.653060561,0.883867507,3.334907175,5.329795249
35,5.5821777,0.351804549,1.196793992,1.127881547
36,5.435941505,0.927863785,2.898784872,0.17377256
37,4.571602569,5.813224062,2.743345712,3.070918715
38,5.114022077,0.238802223,2.839676135,9.600638894
39,4.159552094,14.32779029,2.569183311,6.937618749
40,5.670782558,0.274942984,3.34748997,3.157116815
41,6.362751702,1.015216382,2.522221724,5.51568859
42,4.242410603,0.961096392,2.51593039,4.565703585
43,4.548493982,8.948091977,3.768222151,3.054657404
44,3.910946035,0.138561979,3.297990817,9.339305365
45,3.22988446,1.589891325,2.566256735,3.857394552
46,5.379612069,0.769347784,2.374755951,0.358723165
47,4.443933055,0.321192545,1.496065473,7.895891208
48,5.033269346,1.235282244,3.233555254,1.645586544
49,5.990066184,1.104538861,2.335944016,7.574847462
50,5.733190453,0.047043449,2.102734079,3.178736891
51,4.716815125,0.706708747,7.499016704,5.174927928
52,5.902039282,0.142754892,7.197042963,5.637915423
53,3.989359921,0.805673548,8.271658704,0.222357963
54,5.714075361,0.234758846,6.934883416,5.284713509
55,5.178129841,1.412602942,6.865509325,5.432351998
56,5.181839424,1.207077796,7.142507347,7.641784546
57,4.720929808,0.323727624,8.121999037,8.165121051
58,3.007593217,1.051744636,7.576313304,8.292714916
59,4.149615574,0.50525143,7.739432578,9.575191867
60,5.868250899,1.911816461,7.893100298,7.678091058
61,7.863555847,1.841102334,6.99279084,3.719304283
62,5.376135564,0.59890222,6.670270629,3.15286437
63,2.602527412,2.126347865,7.402024253,7.909564003
64,9.802447621,1.206960206,7.78027867,6.007082127
65,6.432853063,0.145397249,7.420111789,3.170503709
66,5.552966924,3.441203828,6.820666852,2.481751051
67,6.384378601,1.388573989,6.748274993,0.718598084
68,4.691717981,0.425319559,7.451361123,6.306253227
69,5.139450051,0.150214919,7.983630636,0.19240028
70,5.25239327,2.331921055,7.349322476,6.773046711
71,6.193758688,3.469550709,6.292390997,9.67241067
72,7.469008411,1.266503504,6.887122229,5.035008618
73,2.424613525,0.467342194,7.187542152,5.168365894
74,4.522485341,2.164568333,7.012178261,2.938547197
75,3.643790042,1.937806675,6.306643417,1.647283116
76,3.944010805,0.203165702,8.616794307,6.521224764
77,2.332850807,0.11187793,7.945922259,3.362891469
78,3.916617256,0.3082778,7.609591072,5.731827072
79,5.069231314,2.857665771,7.07762832,3.066874472
80,5.365487031,0.994313153,6.819330306,6.325346942
81,5.942496959,0.758803577,7.573930692,0.919861312
82,4.963042127,2.336189755,6.111676205,6.253699365
83,8.471229964,0.350310751,7.878899256,2.256875462
84,5.265815386,0.176649747,7.092464439,3.956078179
85,3.46337785,11.18014108,8.025116006,1.507388023
86,8.412021952,0.82230676,7.303733795,4.427409309
87,2.166415003,2.526378757,7.505276766,5.421861478
88,6.640927402,0.489944268,7.991271331,9.360257594
89,7.769250541,0.272602193,7.941025997,7.651875224
90,5.78154901,2.421280188,6.434749391,4.01502274
91,2.700556839,3.32224753,5.944142325,1.342275953
92,2.090952546,0.310261504,7.191625527,3.978033529
93,5.730374807,2.141425836,8.129249443,5.894404934
94,6.867855036,2.387126254,7.386330058,8.620601988
95,4.67408986,0.483239586,7.662134908,4.37343969
96,3.830610328,1.871276333,7.15444473,0.22006277
97,5.52331175,0.335731774,7.239243365,5.568856515
98,6.022586375,0.596846972,8.410991756,4.868895309
99,4.202807919,1.017078156,7.024958883,2.593635211
100,3.983909868,1.936710061,7.213024711,4.169716977
